StateName,state_code,state_region,nfl_presence,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iowa,IA,Midwest,,"121,031.00","123,683.40","129,323.40","128,077.50","131,035.20","137,476.90","149,063.20","153,626.80","155,704.50","162,838.10","160,469.10","156,737.20","161,593.10","164,559.30","170,923.70","171,069.10","180,309.90","185,989.20"
Kansas,KS,Midwest,,"112,625.70","115,486.40","118,840.90","119,474.10","121,050.50","123,486.70","124,793.20","129,588.20","136,135.80","143,586.60","147,265.00","141,902.50","143,870.10","147,836.80","150,077.10","150,702.90","154,110.10","158,602.60"
Kentucky,KY,South,,"160,810.10","165,761.90","161,101.00","161,316.40","165,435.30","170,481.90","175,344.60","182,017.90","186,332.60","185,790.00","186,515.90","178,112.80","186,720.60","188,389.80","192,060.10","196,698.00","196,795.80","199,487.10"
Louisiana,LA,South,Y,"209,356.60","213,475.30","206,556.10","210,534.70","214,856.10","223,576.00","234,620.80","249,560.90","247,139.70","234,216.40","237,061.60","241,868.80","253,466.90","241,235.90","242,416.80","236,482.30","243,042.90","239,584.10"
Maine,ME,New England,,"48,138.50","50,620.30","52,958.50","54,066.20","55,406.50","56,882.40","58,934.80","59,589.70","59,986.00","60,032.60","59,845.10","58,771.80","59,958.50","59,429.70","59,181.70","59,013.90","59,589.80","60,563.00"
Maryland,MD,Middle Atlantic,Y,"248,662.90","258,913.40","269,301.20","281,053.60","290,400.30","297,690.60","311,504.80","325,644.50","329,874.00","331,763.50","338,165.40","336,285.80","352,622.90","360,155.90","361,561.80","364,633.20","370,343.90","378,745.90"
Massachusetts,MA,New England,Y,"335,504.40","353,837.90","382,599.60","388,180.80","388,451.60","397,069.90","407,886.00","417,075.60","426,926.10","440,373.80","447,526.80","441,307.60","462,330.80","472,664.30","483,286.30","486,991.80","496,250.90","514,398.70"
Michigan,MI,Midwest,Y,"431,274.30","457,637.60","467,654.40","453,301.50","465,788.40","477,085.40","485,082.70","493,796.30","483,763.60","482,935.10","455,256.70","416,297.10","441,271.50","453,989.10","463,302.60","472,779.90","479,534.90","490,618.70"
Minnesota,MN,Midwest,Y,"237,724.00","247,004.70","263,345.60","263,518.70","268,982.80","280,796.90","293,753.90","301,761.20","302,272.70","304,208.00","309,290.40","296,875.20","308,091.90","315,213.30","321,053.90","329,774.50","338,623.90","345,456.20"
Mississippi,MS,South,,"90,960.10","93,597.70","93,957.00","93,515.50","94,561.50","98,762.10","101,369.50","103,691.80","105,879.90","107,713.90","109,434.00","105,360.00","106,711.80","106,491.10","108,646.50","109,032.70","109,299.60","109,401.70"
Missouri,MO,South,Y,"249,234.00","256,290.40","262,665.40","260,381.10","264,997.70","271,970.50","279,128.20","285,341.70","286,558.30","288,320.80","297,881.80","289,566.80","295,986.40","292,984.20","296,514.30","302,025.70","303,617.80","308,009.90"
Montana,MT,West,,"31,456.10","31,633.40","32,513.70","32,689.60","33,663.80","35,249.50","36,949.90","38,849.00","40,055.00","42,057.70","42,049.30","40,938.40","42,469.80","43,532.20","44,329.10","45,114.70","46,166.70","47,765.60"
Nebraska,NE,Midwest,,"75,750.00","77,421.10","80,268.20","82,268.10","83,433.20","88,310.70","90,607.60","94,556.00","97,322.80","99,780.70","99,860.10","99,986.40","103,940.80","109,734.20","109,686.30","111,382.20","115,651.90","119,640.80"
Nevada,NV,West,,"102,779.40","110,091.00","114,810.20","116,267.30","120,180.10","125,905.40","139,373.00","150,680.90","156,297.90","157,734.30","152,745.60","140,304.30","142,614.20","144,341.20","142,986.10","144,549.30","145,303.60","151,055.90"
New Hampshire,NH,New England,,"54,954.50","56,913.10","60,742.50","61,719.40","63,474.20","66,119.40","68,428.10","69,556.10","71,424.50","71,943.50","71,195.60","70,498.60","72,950.40","73,465.00","74,082.80","75,503.40","76,836.20","79,319.30"
New Jersey,NJ,Middle Atlantic,,"461,237.30","477,827.90","503,901.50","509,631.50","517,752.20","529,815.90","536,174.00","546,357.80","555,211.00","560,823.80","573,202.70","546,362.20","554,764.40","548,479.30","560,729.70","570,952.40","570,696.40","581,414.90"
New Mexico,NM,Southwest,,"67,718.10","71,421.00","72,733.80","72,996.40","75,345.90","78,766.80","85,751.00","86,295.90","88,554.50","89,392.30","89,012.90","90,829.20","90,721.00","90,552.30","90,762.40","90,104.00","92,621.10","93,503.90"
New York,NY,Middle Atlantic,Y,"1,112,323.60","1,172,149.80","1,217,036.40","1,240,755.20","1,228,580.80","1,236,563.10","1,269,433.10","1,301,438.00","1,339,568.50","1,353,798.90","1,328,095.70","1,379,504.60","1,431,624.00","1,440,346.80","1,496,280.10","1,501,818.00","1,535,375.90","1,565,835.20"
North Carolina,NC,South,Y,"351,977.90","372,030.30","384,115.30","387,433.90","393,685.90","404,582.50","420,579.40","442,305.60","470,663.90","477,920.80","492,688.80","473,610.50","482,030.40","484,200.30","488,126.50","497,456.60","509,782.40","525,229.10"
North Dakota,ND,Midwest,,"23,971.30","24,069.60","24,990.20","25,329.80","26,592.10","28,326.70","28,636.20","29,629.00","30,911.40","32,529.00","35,030.40","35,971.30","38,697.40","43,300.40","53,326.80","54,690.90","60,193.00","58,694.50"
Ohio,OH,Midwest,Y,"518,604.00","530,745.60","541,005.90","534,612.40","546,688.20","557,024.50","572,308.50","584,867.70","582,637.60","585,403.00","580,389.00","550,982.40","563,816.30","580,251.40","586,540.90","603,057.40","624,973.40","633,274.80"
Oklahoma,OK,Southwest,,"114,928.10","116,968.40","121,170.20","125,695.70","127,930.20","130,147.80","134,606.60","140,360.10","149,367.10","152,879.60","158,987.80","156,856.80","158,086.40","163,859.30","172,016.00","176,086.80","186,574.40","193,792.60"
Oregon,OR,West,,"130,425.10","133,761.70","145,094.20","144,486.50","147,432.80","154,445.30","163,046.10","168,734.40","177,222.40","180,724.30","184,842.60","176,951.60","180,738.20","185,959.40","187,352.40","189,609.70","195,808.20","205,581.80"
Pennsylvania,PA,Middle Atlantic,Y,"534,933.60","552,163.60","566,250.90","577,677.50","583,507.40","598,809.50","614,957.10","626,290.10","626,589.90","649,638.10","665,148.30","645,206.70","666,805.80","676,468.30","689,007.00","704,195.00","718,691.60","734,145.10"
Rhode Island,RI,New England,,"45,381.30","46,831.20","49,113.60","49,705.20","51,284.30","52,933.10","55,160.50","55,885.90","57,415.80","56,230.50","54,977.10","54,481.50","56,050.60","56,026.60","56,487.40","57,037.20","57,602.70","58,387.90"
South Carolina,SC,South,,"150,732.60","157,645.50","161,880.20","162,837.10","167,333.00","174,270.80","177,169.40","183,267.50","187,386.10","193,386.60","192,497.10","184,081.30","188,777.20","193,221.00","195,406.10","200,147.30","206,077.90","213,212.40"
